id,customer_id,customer_name,amount,due_date,days_overdue,past_default_count,dnc_flag,status,contact_count
INV-0026,CUS-0026,Customer 26,1432166,2026-06-27,0,2,0,open,2
INV-0027,CUS-0027,Customer 27,1479557,2026-06-28,7,0,0,open,0
INV-0028,CUS-0028,Customer 28,1526948,2026-06-01,14,1,0,open,1
INV-0029,CUS-0029,Customer 29,1574339,2026-06-02,21,2,0,open,2
INV-0030,CUS-0030,Customer 30,1621730,2026-06-03,28,0,0,open,0
INV-0031,CUS-0031,Customer 31,1669121,2026-06-04,35,1,0,open,1
INV-0032,CUS-0032,Customer 32,1716512,2026-06-05,42,2,0,open,2
INV-0033,CUS-0033,Customer 33,1763903,2026-06-06,49,0,0,open,0
INV-0034,CUS-0034,Customer 34,1811294,2026-06-07,56,1,0,open,1
INV-0035,CUS-0035,Customer 35,1858685,2026-06-08,63,2,0,open,2
INV-0036,CUS-0036,Customer 36,1906076,2026-06-09,70,0,0,open,0
INV-0037,CUS-0037,Customer 37,1953467,2026-06-10,77,1,0,open,1
INV-0038,CUS-0038,Customer 38,2000858,2026-06-11,84,2,0,open,2
INV-0039,CUS-0039,Customer 39,2048249,2026-06-12,0,0,0,open,0
INV-0040,CUS-0040,Customer 40,2095640,2026-06-13,7,1,0,open,1
INV-0041,CUS-0041,Customer 41,2143031,2026-06-14,14,2,0,open,2
INV-0042,CUS-0042,Customer 42,2190422,2026-06-15,21,0,0,open,0
INV-0043,CUS-0043,Customer 43,2237813,2026-06-16,28,1,0,open,1
INV-0044,CUS-0044,Customer 44,2285204,2026-06-17,35,2,0,open,2
INV-0045,CUS-0045,Customer 45,2332595,2026-06-18,42,0,0,open,0
INV-0046,CUS-0046,Customer 46,2379986,2026-06-19,49,1,0,open,1
INV-0047,CUS-0047,Customer 47,2427377,2026-06-20,56,2,0,open,2
INV-0048,CUS-0048,Customer 48,2474768,2026-06-21,63,0,0,open,0
INV-0049,CUS-0049,Customer 49,2522159,2026-06-22,70,1,0,open,1
INV-0050,CUS-0050,Customer 50,2569550,2026-06-23,77,2,0,open,2
INV-0051,CUS-0051,Customer 51,2616941,2026-06-24,84,0,0,open,0
INV-0052,CUS-0052,Customer 52,2664332,2026-06-25,0,1,0,open,1
INV-0053,CUS-0053,Customer 53,2711723,2026-06-26,7,2,0,open,2
INV-0054,CUS-0054,Customer 54,2759114,2026-06-27,14,0,0,open,0
INV-0055,CUS-0055,Customer 55,2806505,2026-06-28,21,1,0,open,1
INV-0056,CUS-0056,Customer 56,2853896,2026-06-01,28,2,0,open,2
INV-0057,CUS-0057,Customer 57,2901287,2026-06-02,35,0,0,open,0
INV-0058,CUS-0058,Customer 58,2948678,2026-06-03,42,1,0,open,1
INV-0059,CUS-0059,Customer 59,2996069,2026-06-04,49,2,0,open,2
INV-0060,CUS-0060,Customer 60,3043460,2026-06-05,56,0,0,open,0
INV-0061,CUS-0061,Customer 61,3090851,2026-06-06,34,1,0,open,1
INV-0062,CUS-0062,Customer 62,3138242,2026-06-07,45,2,0,open,2
INV-0063,CUS-0063,Customer 63,3185633,2026-06-08,56,0,0,open,0
INV-0064,CUS-0064,Customer 64,3233024,2026-06-09,67,1,0,open,1
INV-0065,CUS-0065,Customer 65,3280415,2026-06-10,78,2,0,open,2
INV-0066,CUS-0066,Customer 66,3327806,2026-06-11,89,0,0,open,0
INV-0067,CUS-0067,Customer 67,3375197,2026-06-12,9,1,0,open,1
INV-0068,CUS-0068,Customer 68,3422588,2026-06-13,20,2,0,open,2
INV-0069,CUS-0069,Customer 69,3469979,2026-06-14,31,0,0,open,0
INV-0070,CUS-0070,Customer 70,3517370,2026-06-15,42,1,0,open,1
INV-0071,CUS-0071,Customer 71,3564761,2026-06-16,53,2,0,open,2
INV-0072,CUS-0072,Customer 72,3612152,2026-06-17,64,0,0,open,0
INV-0073,CUS-0073,Customer 73,3659543,2026-06-18,75,1,0,open,1
INV-0074,CUS-0074,Customer 74,3706934,2026-06-19,86,2,0,open,2
INV-0075,CUS-0075,Customer 75,3754325,2026-06-20,6,0,0,open,0
INV-0076,CUS-0076,Customer 76,3801716,2026-06-21,17,1,0,open,1
INV-0077,CUS-0077,Customer 77,3849107,2026-06-22,28,2,0,open,2
INV-0078,CUS-0078,Customer 78,3896498,2026-06-23,39,0,0,open,0
INV-0079,CUS-0079,Customer 79,3943889,2026-06-24,50,1,0,open,1
INV-0080,CUS-0080,Customer 80,3991280,2026-06-25,61,2,0,open,2
INV-0081,CUS-0081,Customer 81,4038671,2026-06-26,72,3,0,open,0
INV-0082,CUS-0082,Customer 82,4086062,2026-06-27,83,4,0,open,1
INV-0083,CUS-0083,Customer 83,4133453,2026-06-28,3,5,0,open,2
INV-0084,CUS-0084,Customer 84,4180844,2026-06-01,14,3,0,open,0
INV-0085,CUS-0085,Customer 85,4228235,2026-06-02,25,4,0,open,1
INV-0086,CUS-0086,Customer 86,4275626,2026-06-03,36,5,0,open,2
INV-0087,CUS-0087,Customer 87,4323017,2026-06-04,47,3,0,open,0
INV-0088,CUS-0088,Customer 88,4370408,2026-06-05,58,4,0,open,1
INV-0089,CUS-0089,Customer 89,4417799,2026-06-06,69,5,0,open,2
INV-0090,CUS-0090,Customer 90,4465190,2026-06-07,80,3,0,open,0
INV-0091,CUS-0091,Customer 91,4512581,2026-06-08,0,1,0,open,1
INV-0092,CUS-0092,Customer 92,4559972,2026-06-09,11,2,0,open,2
INV-0093,CUS-0093,Customer 93,4607363,2026-06-10,22,0,0,open,0
INV-0094,CUS-0094,Customer 94,4654754,2026-06-11,33,1,0,open,1
INV-0095,CUS-0095,Customer 95,4702145,2026-06-12,44,2,0,open,2
INV-0096,CUS-0096,Customer 96,4749536,2026-06-13,55,0,0,open,0
INV-0097,CUS-0097,Customer 97,4796927,2026-06-14,66,1,0,open,1
INV-0098,CUS-0098,Customer 98,4844318,2026-06-15,77,2,0,disputed,2
INV-0099,CUS-0099,Customer 99,4891709,2026-06-16,88,0,0,open,4
INV-0100,CUS-0100,Customer 100,250000000,2026-06-17,8,1,0,open,1
